Days,CSE/s1,EEE/s1,ECE/s1,MEE/s1,RAE/s1
"(2000, 2, 2, 2)",23CCE101,23CHY188,23ECE101,22AVP103,22ADM101
"(2000, 2, 4, 4)",23ECE101,23EEE101,23MAT124,23MAT121,24PHY104
"(2000, 2, 7, 0)",23MAT124,23ENG101,23ECE102,23PHY108,23MAT126
"(2000, 2, 9, 2)",23CCE102,23MAT122,23ECE103,23PHY188,23CSE116
"(2000, 2, 11, 4)",23PHY110,23MEE102,23ECE104,23MEE101,23EEE105
"(2000, 2, 14, 0)",23CCE103,23PHY105,23ECE105,,23ENG101
"(2000, 2, 16, 2)",23CCE181,,23ECE181,,23ENV300
"(2000, 2, 18, 4)",23CCE182,,23ECE182,,
"(2000, 2, 21, 0)",22ADM101,22ADM101,22ADM101,,
"(2000, 2, 23, 2)",22AVP103,22AVP103,22AVP103,22ADM101,22AVP103
